,Equity_x,stock_name,Equity_y,Sector
280,8,Axis Bank,Axis Bank,Banking & Financial Services
281,8,Astral Poly Tec,Astral Poly Tec,Manufacturing
282,8,VST Tillers,VST Tillers,Automotive
283,8,Jain Irrigation,Jain Irrigation,Manufacturing
284,8,Ratnamani Metal,Ratnamani Metal,Metals & Mining
285,8,Lakshmi Machine,Lakshmi Machine,Engineering & Capital Goods
286,8,eClerx Services,eClerx Services,Information Technology
287,8,S H Kelkar,S H Kelkar,Miscellaneous
288,8,Dabur India,Dabur India,Consumer Non-durables
289,8,Trident,Trident,Manufacturing
290,8,Shankara Buildi,Shankara Buildi,Miscellaneous
291,8,Mahanagar Gas,Mahanagar Gas,Oil & Gas
292,8,Wonderla,Wonderla,Miscellaneous
293,8,Unichem Labs,Unichem Labs,Pharmaceuticals
294,8,Allcargo,Allcargo,Services
295,8,Novartis India,Novartis India,Pharmaceuticals
296,8,Allahabad Bank,Allahabad Bank,Banking & Financial Services
297,8,Zee Entertain,Zee Entertain,Media & Entertainment
298,8,Sanghvi Movers,Sanghvi Movers,Engineering & Capital Goods
299,8,PTC India Fin,PTC India Fin,Banking & Financial Services
300,8,Jamna Auto,Jamna Auto,Automotive
301,8,Gujarat Gas,Gujarat Gas,Oil & Gas
302,8,Sundram,Sundram,Manufacturing
303,8,Bosch,Bosch,Automotive
304,8,HUDCO,HUDCO,Retail & Real Estate
305,8,Apar Ind,Apar Ind,Miscellaneous
306,8,Godfrey Phillip,Godfrey Phillip,Tobacco
307,8,Westlife Dev,Westlife Dev,Banking & Financial Services
308,8,Ent Network Ind,Ent Network Ind,Media & Entertainment
309,8,VRL Logistics,VRL Logistics,Services
310,8,Kirloskar Ind,Kirloskar Ind,Engineering & Capital Goods
311,8,Dr Lal PathLab,Dr Lal PathLab,Pharmaceuticals
312,8,TVS Srichakra,TVS Srichakra,Automotive
313,8,Syngene Intl,Syngene Intl,Miscellaneous
314,8,Vedanta,Vedanta,Metals & Mining
315,8,Essel Propack,Essel Propack,Manufacturing
316,8,BPCL,BPCL,Oil & Gas
317,8,Tamil Newsprint,Tamil Newsprint,Manufacturing
318,8,Future Life,Future Life,Retail & Real Estate
319,8,Suven Life Sci,Suven Life Sci,Pharmaceuticals
320,8,Indo Count,Indo Count,Manufacturing
321,8,Hawkins Cooker,Hawkins Cooker,Consumer Durables
322,8,BASF,BASF,Chemicals
323,8,IFGL Refractory,IFGL Refractory,Cement & Construction
324,8,IFB Industries,IFB Industries,Consumer Durables
325,8,Sobha,Sobha,Retail & Real Estate
326,8,Kewal Kiran,Kewal Kiran,Retail & Real Estate
327,8,Triveni Turbine,Triveni Turbine,Engineering & Capital Goods
328,7,Hind Constr,Hind Constr,Cement & Construction
329,7,Jindal Steel,Jindal Steel,Metals & Mining
330,7,Alembic Pharma,Alembic Pharma,Pharmaceuticals
331,7,Dish TV,Dish TV,Media & Entertainment
332,7,Tata Comm,Tata Comm,Telecommunication
333,7,Interglobe Avi,Interglobe Avi,Services
334,7,Dewan Housing,Dewan Housing,Banking & Financial Services
335,7,PNB,PNB,Banking & Financial Services
336,7,JB Chemicals,JB Chemicals,Pharmaceuticals
337,7,GNA Axles,GNA Axles,Automotive
338,7,Rel Capital,Rel Capital,Banking & Financial Services
339,6,Atul Auto,Atul Auto,Automotive
340,6,Amrutanjan Heal,Amrutanjan Heal,Pharmaceuticals
341,6,Parag Milk Food,Parag Milk Food,Food & Beverages
342,6,EIH,EIH,Services
343,6,Precision Camsh,Precision Camsh,Automotive
344,6,Shriram Trans,Shriram Trans,Banking & Financial Services
345,6,Indoco Remedies,Indoco Remedies,Pharmaceuticals
346,6,Kaveri Seed,Kaveri Seed,Miscellaneous
347,6,Bajaj Electric,Bajaj Electric,Consumer Durables
348,6,GAIL,GAIL,Oil & Gas
349,6,Monte Carlo,Monte Carlo,Manufacturing
350,6,Fortis Health,Fortis Health,Services
351,6,V-Mart Retail,V-Mart Retail,Retail & Real Estate
352,6,Orient Refract,Orient Refract,Cement & Construction
353,6,Skipper,Skipper,Miscellaneous
354,6,Kirloskar Bros,Kirloskar Bros,Engineering & Capital Goods
355,6,Cipla,Cipla,Pharmaceuticals
356,6,Tata Power,Tata Power,Utilities
