,#EANF#,%,Cash / Call,Equity,Equity ,Qty,Qty ,Rating ,Sector,Unnamed: 0,Unnamed: 0.1,Unnamed: 4,Unnamed: 5,Value,"Value
 (Rs cr)",Value  (Rs cr),company_code,company_name
7,,2.86,,,SBI,,"300,000.00",,Banking & Financial Services,7,,,,,8.69,,MBS1821,birla-sl-emer-leaders-sr-1-dp
8,,2.76,,,Tata Motors (D),,"300,000.00",,Automotive,8,,,,,8.4,,MBS1821,birla-sl-emer-leaders-sr-1-dp
9,,2.72,,,Heidelberg Cem,,"600,000.00",,Cement & Construction,9,,,,,8.26,,MBS1821,birla-sl-emer-leaders-sr-1-dp
10,,2.65,,,Exide Ind,,"350,000.00",,Automotive,10,,,,,8.04,,MBS1821,birla-sl-emer-leaders-sr-1-dp
11,,2.57,,,Johnson Control,,"43,500.00",,Consumer Durables,11,,,,,7.81,,MBS1821,birla-sl-emer-leaders-sr-1-dp
12,,2.54,,,HDFC Bank,,"50,000.00",,Banking & Financial Services,12,,,,,7.73,,MBS1821,birla-sl-emer-leaders-sr-1-dp
13,,2.53,,,CG Consumer,,"350,000.00",,Manufacturing,13,,,,,7.7,,MBS1821,birla-sl-emer-leaders-sr-1-dp
14,,2.48,,,Federal Bank,,"700,000.00",,Banking & Financial Services,14,,,,,7.53,,MBS1821,birla-sl-emer-leaders-sr-1-dp
15,,2.39,,,IOC,,"165,000.00",,Oil & Gas,15,,,,,7.26,,MBS1821,birla-sl-emer-leaders-sr-1-dp
16,,2.36,,,CG Power ,,"912,000.00",,Engineering & Capital Goods,16,,,,,7.17,,MBS1821,birla-sl-emer-leaders-sr-1-dp
17,,2.29,,,HPCL,,"130,000.00",,Oil & Gas,17,,,,,6.97,,MBS1821,birla-sl-emer-leaders-sr-1-dp
18,,2.2,,,MCX India,,"55,000.00",,Miscellaneous,18,,,,,6.69,,MBS1821,birla-sl-emer-leaders-sr-1-dp
19,,2.19,,,Rel Capital,,"100,000.00",,Banking & Financial Services,19,,,,,6.65,,MBS1821,birla-sl-emer-leaders-sr-1-dp
20,,2.14,,,IRB Infra,,"250,000.00",,Engineering & Capital Goods,20,,,,,6.52,,MBS1821,birla-sl-emer-leaders-sr-1-dp
21,,2.09,,,KEC Intl,,"290,000.00",,Engineering & Capital Goods,21,,,,,6.36,,MBS1821,birla-sl-emer-leaders-sr-1-dp
22,,2.07,,,Divis Labs,,"100,000.00",,Pharmaceuticals,22,,,,,6.28,,MBS1821,birla-sl-emer-leaders-sr-1-dp
23,,1.96,,,Orient Cement,,"350,000.00",,Cement & Construction,23,,,,,5.96,,MBS1821,birla-sl-emer-leaders-sr-1-dp
24,,1.83,,,IDFC,,"900,000.00",,Banking & Financial Services,24,,,,,5.55,,MBS1821,birla-sl-emer-leaders-sr-1-dp
25,,1.8,,,Cyient,,"100,000.00",,Information Technology,25,,,,,5.48,,MBS1821,birla-sl-emer-leaders-sr-1-dp
26,,1.79,,,Britannia,,"15,000.00",,Food & Beverages,26,,,,,5.44,,MBS1821,birla-sl-emer-leaders-sr-1-dp
