Equity,Sector,Qty,Value,%,Fund_Type,Fund_Name,Fund_Code,Time_Stamp
"Repco Home","Banking & Financial Services",248911,14.05,2.13,Diversified,"Franklin India Oppor. (G)",MKP028,"2018-03-28 00:00:00"
"Repco Home","Banking & Financial Services",153595,8.67,3.12,ELSS,"Mahindra MF KBY - RP (G)",MMH009,"2018-03-28 00:00:00"
"Repco Home","Banking & Financial Services",153595,8.67,3.12,ELSS,"Mahindra MF KBY - DP (G)",MMH011,"2018-03-28 00:00:00"
"Repco Home","Banking & Financial Services",47019,2.65,0.81,Balanced,"Mahindra MF DSESY - RP (G)",MMH013,"2018-03-28 00:00:00"
"Repco Home","Banking & Financial Services",47019,2.65,0.81,Balanced,"Mahindra MF DSESY - DP (G)",MMH015,"2018-03-28 00:00:00"
"Repco Home","Banking & Financial Services",54678,3.09,0.12,Banking,"ICICI Pru Bkg&Fin; Serv -Direct (G)",MPI1138,"2018-03-28 00:00:00"
"Repco Home","Banking & Financial Services",54678,3.09,0.12,Banking,"ICICI Pru Bkg & Fin Serv-RP(G)",MPI447,"2018-03-28 00:00:00"
"Repco Home","Banking & Financial Services",6275,0.39,0.52,MIPA,"Essel Income Plus Fund (G)",MPM025,"2018-03-28 00:00:00"
"Repco Home","Banking & Financial Services",47550,2.99,2.59,Diversified,"Essel Equity Fund (G)",MPM034,"2018-03-28 00:00:00"
"Repco Home","Banking & Financial Services",10460,0.66,2.59,Diversified,"Essel Equity Fund - Direct (G)",MPM040,"2018-03-28 00:00:00"
"Repco Home","Banking & Financial Services",200,0.01,0.52,MIPA,"Essel Income Plus - Direct (G)",MPM042,"2018-03-28 00:00:00"
"Repco Home","Banking & Financial Services",40000,2.26,0.14,MIPC,"SBI Magnum MIP (G)",MSB021,"2018-03-28 00:00:00"
"Repco Home","Banking & Financial Services",343322,19.38,0.49,Midcap,"SBI Magnum Midcap Fund (G)",MSB065,"2018-03-28 00:00:00"
"Repco Home","Banking & Financial Services",343322,19.38,0.49,Midcap,"SBI Magnum Midcap Fund - Direct (G)",MSB505,"2018-03-28 00:00:00"
"Repco Home","Banking & Financial Services",40000,2.26,0.14,MIPC,"SBI Magnum MIP - Direct (G)",MSB538,"2018-03-28 00:00:00"
"Repco Home","Banking & Financial Services",430000,24.28,1.02,Diversified,"Sundaram Rural India Fund (G)",MSN097,"2018-03-28 00:00:00"
"Repco Home","Banking & Financial Services",24920,1.41,0.6,Midcap,"Sundaram Select Micro Cap-Sr 5-RP-G",MSN1035,"2018-03-28 00:00:00"
"Repco Home","Banking & Financial Services",24920,1.41,0.6,Midcap,"Sundaram Select Micro Cap-Sr 5-DP-G",MSN1037,"2018-03-28 00:00:00"
