COUNT,SYMBOL,ADJUSTMENT_TYPE,DATE,FACTOR,URL,NSE
82,TATACOFFEE,split,23-01-2015,0.1,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=TC14,
83,CORPBANK,split,22-01-2015,0.2,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=CB,
84,BANKBARODA,split,22-01-2015,0.2,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=BOB,
85,RSSOFTWARE,split,21-01-2015,0.5,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=RSS,
86,BERGEPAINT,split,08-01-2015,0.5,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=BPI02,
88,HATHWAY,split,06-01-2015,0.2,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=HCD,
89,MINDACORP,split,05-01-2015,0.2,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=MC23,
0,OAL,split,13-12-2018,0.5,https://www.moneycontrol.com/india/stockpricequote/chemicals/camphoralliedproducts/CAP,
1,BRITANNIA,split,29-11-2018,0.5,https://www.moneycontrol.com/india/stockpricequote/foodprocessing/britanniaindustries/BI,
8,DFMFOODS,split,01-11-2018,0.2,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/dfmfoods/DFM,
10,JINDWORLD,split,31-10-2018,0.2,https://www.moneycontrol.com/india/stockpricequote/trading/jindalworldwide/JW01,
11,DAMODARIND,split,25-10-2018,0.5,https://www.moneycontrol.com/india/stockpricequote/textilesspinningsyntheticblended/damodarthreads/DT,
14,IEX,split,19-10-2018,0.1,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/frontlinesecurities/IEE,
15,APOLSINHOT,split,12-10-2018,0.5,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/frontlinesecurities/ASH,
17,JMCPROJECT,split,04-10-2018,0.2,https://www.moneycontrol.com/india/stockpricequote/constructioncontractingcivil/jmcprojectsindia/JMC,
18,KGKHOSLA,split,26-09-2018,0.2,https://www.moneycontrol.com/india/stockpricequote/compressors/kirloskarpneumaticcompany/KGK,
